"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2011"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","148465600","15600500","4676900","9352500","39189300","22070800","13003900","4689300","46031700","303080600","1"
"Alabama","2191200","248700","68500","186700","602400","380600","229200","107500","661100","4676000"
"Alaska","341000","18100","14700","17100","78000","28900","18600","41600","139100","697100"
"Arizona","2682800","325800","104100","174700","1028400","486900","328200","107800","1085700","6324500"
"Arkansas","1202100","136000","46600","120700","431400","223300","157900","48000","483600","2849500"
"California","16800800","2355900","525400","1209100","5502600","1931200","1434000","396000","6707900","36862800"
"Colorado","2529800","388000","72100","116700","496200","313900","182300","125500","759600","4983900"
"Connecticut","1988100","173400","46500","100200","425000","271100","143300","20700","298000","3466400"
"Delaware","468600","30900","17500","26500","128800","78700","41000","9700","78300","880100"
"District of Columbia","309600","28800","17100","24600","113900","29800","10400","4900","44700","583900"
"Florida","7388300","1074800","187800","685200","2199100","1612400","1243800","339600","3883300","18614200"
"Georgia","4467300","443600","118800","270400","1170000","561200","378200","238300","1869600","9517400"
"Hawaii","735200","50700","25800","37600","130800","111100","49300","76400","95000","1311900"
"Idaho","735800","126900","30100","40500","157500","123600","57100","32600","243200","1547300"
"Illinois","6593400","595900","174900","294100","1786100","897700","502600","84600","1624400","12553800"
"Indiana","3329200","253200","93400","152400","729400","507700","269400","61200","921200","6317100"
"Iowa","1647500","190700","73000","93700","288700","272800","104300","26300","266600","2963800"
"Kansas","1489400","172600","43300","74200","248500","222300","100300","68500","353000","2772200"
"Kentucky","1989600","183800","58300","173500","578800","345400","207500","76100","614900","4227900"
"Louisiana","1918500","232000","82700","167900","695700","265100","215900","74800","778600","4431200"
"Maine","613800","53000","25100","71100","191600","118100","54400","20600","144400","1292200"
"Maryland","3284900","292500","77900","139400","603900","414000","176300","97400","582300","5668600"
"Massachusetts","3685400","308900","152800","243300","975400","480300","213300","35200","265900","6360600"
"Michigan","4861700","432900","205000","330300","1370400","938900","308200","61500","1146200","9655100"
"Minnesota","3020400","341400","80000","112400","560000","441200","168900","43500","454600","5222300"
"Mississippi","1171500","134200","45000","143900","491100","185100","142800","57000","507800","2878500"
"Missouri","2973000","316500","66100","177300","622600","478500","289800","102100","797400","5823500"
"Montana","438600","72700","10600","28700","84100","90900","45400","18400","182200","971600"
"Nebraska","945200","149700","21300","44200","156200","145200","65500","41200","213800","1782300"
"Nevada","1300300","111900","42800","60500","219400","160900","134100","58400","587400","2675800"
"New Hampshire","776100","55100","14900","33000","91800","107600","57400","13400","128900","1278200"
"New Jersey","4972900","342900","98600","231000","849000","622000","361700","37400","1123300","8638700"
"New Mexico","775900","84300","36800","70600","377900","139300","99900","44900","406900","2036500"
"New York","9607300","758100","386200","713600","3147400","1277400","773900","95700","2180800","18940500"
"North Carolina","4235000","535600","125000","287600","1215900","718000","431700","268300","1536000","9353100"
"North Dakota","354900","71100","10700","11500","44800","67000","20000","12200","65100","657100"
"Ohio","5944500","470700","182700","290900","1382800","962100","516600","112100","1362300","11224600"
"Oklahoma","1640600","155400","53600","101100","461100","293600","185200","90300","683700","3664800"
"Oregon","1789900","248300","59200","103100","465000","328700","163500","44000","591700","3793500"
"Pennsylvania","6545100","634200","254100","420200","1421800","1187200","507400","98700","1249600","12318300"
"Rhode Island","539900","39400","29100","42200","111500","80700","43600","10000","111000","1007400"
"South Carolina","2029800","201400","57700","156000","580200","365700","243400","121900","763300","4519500"
"South Dakota","397600","70700","13700","19800","71700","70900","37800","17200","92000","791400"
"Tennessee","2878000","316200","103900","223700","868000","476400","317900","118800","927700","6230500"
"Texas","11178500","1042800","291900","634200","3376400","1276000","975400","463100","5767900","25006100"
"Utah","1596400","174300","53700","47800","221300","149500","80500","26600","417400","2767500"
"Vermont","306200","25100","17900","25500","99800","50800","23500","7300","43500","599800"
"Virginia","4287500","401100","67700","169700","601300","615100","301000","366100","974100","7783700"
"Washington","3335900","404800","135200","185600","735600","501300","237700","176700","941600","6654400"
"West Virginia","820200","39700","32800","74600","246500","180600","105900","23900","278100","1802200"
"Wisconsin","3054500","251000","116600","179500","715500","444000","224700","52200","511900","5549900"
"Wyoming","295800","34700","7800","14300","37700","40100","23200","13000","85100","551600"
"Puerto Rico","995400","301500","49600","267400","1336000","139900","278900","20200","282900","3671700"
