"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2008"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","157852500","16956300","2975500","6921700","29577600","21732200","10383600","4111400","44759100","295269800","1"
"Alabama","2346200","245000","49900","138600","457700","377500","200800","78700","632500","4526900"
"Alaska","339000","23600","9800","12900","52000","24300","14200","43000","136000","654700"
"Arizona","2955200","390000","59900","114000","800400","485200","267200","99300","1191900","6363000"
"Arkansas","1210500","150800","32800","97000","365900","231900","141000","44200","495500","2769700"
"California","17884900","2630300","287200","832200","4348700","1939100","1208800","356300","6394600","35882000"
"Colorado","2643300","394500","31400","75100","312000","302100","131400","107300","819700","4816700"
"Connecticut","2126000","163000","38000","72400","284200","276600","103200","19000","301400","3383800"
"Delaware","483400","34800","10100","19100","87800","76200","27200","14800","90800","844200"
"District of Columbia","303800","34500","11600","17100","101400","29000","12100","4500","45000","558900"
"Florida","8039600","1147900","106000","453400","1400800","1669800","996400","316600","3743900","17874300"
"Georgia","4779600","522400","79300","196400","969600","524700","321600","201100","1781700","9376400"
"Hawaii","752300","59400","14100","32000","87200","112900","29100","59500","82600","1229000"
"Idaho","752500","129200","13800","22400","117200","122800","39200","25600","261500","1484300"
"Illinois","7162500","649300","134300","265900","1368100","876800","396100","86000","1616900","12556000"
"Indiana","3536300","3.00E+05","59300","131700","531700","509200","198600","52100","854200","6172900"
"Iowa","1709700","205400","42500","73400","229300","276200","82000","23100","252500","2894000"
"Kansas","1583200","169600","21600","56400","172600","231400","77300","47600","341600","2701400"
"Kentucky","2135400","206300","38500","131000","476200","341100","166500","66300","582200","4143600"
"Louisiana","1968000","253700","54100","127400","589700","273400","176300","65100","766100","4273800"
"Maine","645900","55000","25900","52500","172600","121700","37600","25500","137400","1274100"
"Maryland","3401400","277900","50300","104600","394500","399600","136400","94100","611200","5470000"
"Massachusetts","3989900","362700","102100","173200","708700","460400","175500","29900","262600","6265100"
"Michigan","5502600","468400","137900","232400","1099500","897900","240300","58400","1127100","9764400"
"Minnesota","3183200","338700","54400","97900","396300","416400","124400","33400","439700","5084500"
"Mississippi","1270300","153600","33900","109600","385600","191300","122300","51200","508900","2826800"
"Missouri","3132300","336400","51300","152500","536100","484800","209000","79700","746100","5728200"
"Montana","448700","78300","7300","17800","63600","85800","35700","23500","177800","938500"
"Nebraska","1009200","138200","18300","30900","111500","145100","53700","27800","186400","1721000"
"Nevada","1421100","116700","19100","40900","112700","145300","103400","41900","555800","2556800"
"New Hampshire","806000","60500","10900","27400","75700","101100","38000","15300","140500","1275300"
"New Jersey","5257200","363100","60300","165800","634500","624200","301100","32000","1056500","8494600"
"New Mexico","817700","93200","25200","47500","286400","128300","82900","36000","416900","1934000"
"New York","10455100","913800","265900","508100","2492900","1303200","662500","92600","2249800","18944000"
"North Carolina","4460100","557500","79200","222600","908600","680700","331500","208600","1437400","8886300"
"North Dakota","351200","53900","5300","11500","34000","54600","19800","19300","60700","610300"
"Ohio","6489100","485100","125800","238700","1054400","933400","402600","98000","1330400","11157500"
"Oklahoma","1659100","172800","39600","101300","371300","278500","130000","81100","675300","3508800"
"Oregon","1977000","284100","25100","77200","261200","306600","126400","41600","612600","3711900"
"Pennsylvania","6930000","701900","165900","298000","1110800","1152400","412200","79500","1152000","12002700"
"Rhode Island","596900","40100","18100","26300","82700","87900","38300","12600","106400","1009400"
"South Carolina","2141600","226600","44000","126100","413900","352900","183200","93100","737000","4318400"
"South Dakota","404900","71800","12500","17700","64300","71100","22100","17500","88100","769900"
"Tennessee","3140500","353400","61400","172300","667600","444800","265900","105400","834000","6045200"
"Texas","11268300","1154300","175200","477400","2437800","1219800","787400","428800","5693800","23643000"
"Utah","1647900","186000","23100","35000","150300","149800","62100","28800","403900","2686800"
"Vermont","325400","26900","11500","25600","82500","48400","19900","5300","53600","599100"
"Virginia","4379000","403900","53700","151600","441100","581700","218000","306400","883100","7418400"
"Washington","3506600","419400","76700","123200","564400","502000","186000","150200","842000","6370500"
"West Virginia","877300","46500","21700","53800","193200","184900","85200","27600","274900","1765200"
"Wisconsin","3367100","267600","71600","122600","482600","457000","164800","42300","492000","5467500"
"Wyoming","278200","38500","8200","11300","33900","40600","16500","14000","74800","516100"
"Puerto Rico","1253800","288600","31500","193300","1370400","125400","266000","23800","349100","3902000"

