"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2019"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","158000000","18728800","5736500","10895600","46513600","25669500","19617100","4393600","29349300","319000000","1"
"Alabama","2250900","263400","83900","201900","643700","442300","321500","99000","460400","4767100"
"Alaska","339800","24700","21600","21900","105900","43600","26600","37100","80500","701700"
"Arizona","3202000","366500","129900","231500","1128200","593100","552100","105600","789100","7098000"
"Arkansas","1226300","157300","57000","127400","582700","237200","227000","41800","265800","2922500"
"California","18538700","2569600","742300","1510500","7537300","2235600","2153200","350200","3005400","38642700"
"Colorado","2997100","389900","83200","138200","720900","386200","332300","127200","436700","5611800"
"Connecticut","1827200","165900","65000","129700","549200","283000","204900","23900","204500","3453300"
"Delaware","467700","38900","24100","32300","135000","108900","53700","17300","62500","940300"
"District of Columbia","368400","43400","15200","30900","125000","37000","18300","9000","24200","671300"
"Florida","8454200","1995300","277200","890200","2475800","1848500","1927500","366300","2757000","20992000"
"Georgia","5037600","575200","163900","352200","1261600","690800","605500","228300","1379000","10294000"
"Hawaii","729900","54700","28500","41000","167300","147200","65900","54000","54500","1343000"
"Idaho","858100","150100","35300","46800","190500","156800","106100","23700","183600","1750900"
"Illinois","6743800","637800","163100","310400","1776600","999400","742000","83200","905900","12362300"
"Indiana","3473000","284100","109100","188000","855800","549000","416800","65900","570100","6511800"
"Iowa","1664600","150100","67800","88000","440600","303000","174900","26800","144400","3060200"
"Kansas","1527000","158800","47800","71200","270500","270500","150700","55300","259300","2811200"
"Kentucky","2028200","169600","84600","187500","829200","383900","300400","60200","275700","4319300"
"Louisiana","1882500","219500","90900","195900","1030000","297800","320700","61100","400200","4498600"
"Maine","605600","74000","32000","74000","153900","138200","99700","19900","105000","1302300"
"Maryland","3213800","319600","102800","178200","820400","524800","254800","114100","347100","5875500"
"Massachusetts","3716400","359400","171800","285700","1010900","563000","309100","32300","202300","6650800"
"Michigan","4968100","511700","223800","368300","1523200","1079800","473500","55500","561600","9765600"
"Minnesota","3186600","284500","114400","118700","699700","554200","255100","36500","265000","5514800"
"Mississippi","1209700","135500","47000","150300","495900","207800","199300","51500","370300","2867100"
"Missouri","3089700","341500","75500","167600","611000","534500","440700","79200","600100","5939900"
"Montana","446600","83600","24200","31900","160600","106300","81400","18300","86600","1039400"
"Nebraska","1064200","128500","31000","49600","155000","155000","111300","30700","148300","1873600"
"Nevada","1498600","167800","41500","85000","412100","192400","230800","52400","349000","3029700"
"New Hampshire","738900","70100","15400","26300","131000","145200","87100","15300","84600","1314000"
"New Jersey","4844600","471000","120600","250800","1075200","689300","512400","45100","690300","8699400"
"New Mexico","748000","82500","62800","100200","504300","163000","143800","36300","200500","2041400"
"New York","9423800","1094500","474700","870500","3507400","1462800","992800","81700","1000100","18908300"
"North Carolina","4692000","675300","166100","333300","1313700","894900","658200","246900","1159300","10139700"
"North Dakota","406900","65500","14400","17200","57400","69400","31100","15100","54000","731000"
"Ohio","5973000","454200","207500","320000","1746600","1041900","762500","85900","760000","11351500"
"Oklahoma","1742700","209300","61500","108400","481700","325300","251600","75600","571000","3826900"
"Oregon","2037300","235300","96800","133000","628200","382100","285600","37100","293500","4128900"
"Pennsylvania","6413400","636800","292400","461000","1752700","1298800","716300","97100","709100","12377600"
"Rhode Island","549100","59600","32500","45900","130500","83400","64800","8000","43400","1017100"
"South Carolina","2264600","302200","94400","175400","666000","489600","345300","107400","539300","4984200"
"South Dakota","438000","70300","12100","20700","76100","76400","60400","15600","81500","851300"
"Tennessee","3177400","374800","128100","225000","940400","540200","455600","122700","676800","6640900"
"Texas","13461200","1603200","338200","755400","3396400","1496900","1572800","455100","5207000","28286200"
"Utah","1909100","294300","48100","52500","191700","181300","134100","39300","303700","3154100"
"Vermont","289600","29000","15100","26000","101800","66900","37500","5700","26600","598100"
"Virginia","4429500","423400","98600","182500","826400","759300","448700","361700","654900","8185100"
"Washington","3928300","373400","151600","207600","1109500","630800","398400","135300","488900","7423900"
"West Virginia","764600","43800","39400","84200","338900","204300","126200","23000","114500","1739000"
"Wisconsin","3209400","299400","105500","181700","624300","543600","339000","47200","327000","5677100"
"Wyoming","287700","39900","6300","13200","45400","54200","36700","10200","69000","562700"
"Puerto Rico","747900","250000","32300","357400","1066300","137900","308800","16000","248000","3164500"
