"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2015"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","152351600","21836100","5819100","10189600","47856800","24333100","16225100","4673500","29493100","312777900","1"
"Alabama","2205700","289700","94000","188400","666300","436000","272300","97500","480300","4730100"
"Alaska","337000","35100","18100","20800","101100","35300","17700","39800","102800","707500"
"Arizona","2884400","468200","127500","197000","1139300","552700","437200","112200","736600","6655100"
"Arkansas","1194200","203100","61200","129900","547300","246200","182800","46100","271500","2882300"
"California","17555200","2946300","753500","1430600","7989800","2128400","1839200","406100","3276000","38325100"
"Colorado","2657000","452500","95200","127300","798700","369900","251900","132800","430000","5315400"
"Connecticut","1884200","227200","56500","111100","515400","273200","176200","23300","210900","3478100"
"Delaware","473900","48200","22400","26000","139600","93600","49400","13700","51500","918300"
"District of Columbia","344300","43700","8800","23200","136000","36200","13200","5700","23600","634800"
"Florida","7664500","2026100","277700","778600","2668600","1772200","1563400","407900","2653500","19812500"
"Georgia","4694200","707200","152900","295000","1320200","632500","494400","237500","1375700","9909700"
"Hawaii","742300","70100","29100","45000","170100","119800","62300","71900","52100","1362600"
"Idaho","742700","178800","37900","47400","189100","137700","79400","22000","182200","1617200"
"Illinois","6610300","847800","179600","294700","2068200","972500","599300","87900","889400","12549700"
"Indiana","3376300","360100","96800","159300","829000","568300","332700","59400","633300","6415100"
"Iowa","1637000","229300","90800","91400","366300","298300","134000","26000","146800","3019800"
"Kansas","1525400","219000","56100","69100","251900","234900","136000","63000","261200","2816600"
"Kentucky","2000400","220200","104800","179200","821100","367700","256500","72300","261100","4283400"
"Louisiana","2030900","293100","89100","186500","751300","288100","263800","80600","546800","4530300"
"Maine","603900","93700","29300","79400","149900","124300","80400","21000","110600","1292600"
"Maryland","3263700","365200","97500","149600","779900","469900","216900","105800","389700","5838300"
"Massachusetts","3662800","329500","171400","259000","1129000","535300","253300","30500","185000","6555600"
"Michigan","4880000","553800","226300","359300","1615700","1048100","361600","64500","584400","9693800"
"Minnesota","3023200","392200","115000","120300","733500","503300","198700","38600","240600","5365600"
"Mississippi","1171600","181900","50700","154000","539800","207300","165300","57500","361300","2889300"
"Missouri","3017800","442300","86400","167600","620500","516600","364900","100400","574400","5890900"
"Montana","446200","107700","15800","27600","109300","103500","59800","19700","116300","1005900"
"Nebraska","1017800","164500","29500","52600","155200","146200","95000","33500","144000","1838400"
"Nevada","1351800","188500","51700","74800","401700","180000","195500","48800","349800","2842700"
"New Hampshire","753000","71500","14200","27700","118800","130500","67900","14700","89200","1287600"
"New Jersey","4862000","486300","128000","246800","1148700","658200","432000","41000","773400","8776300"
"New Mexico","738400","101000","50000","80000","521600","155600","125600","40900","222200","2035300"
"New York","9544600","1045900","471300","811000","3662900","1377000","891600","96500","1368400","19269200"
"North Carolina","4365800","839500","149500","325200","1327300","823600","534300","266800","1101600","9733700"
"North Dakota","404600","72100","13300","16400","48000","65000","29000","18200","60000","726400"
"Ohio","5898000","552300","234800","307200","1813000","1001900","651100","101800","733400","11293300"
"Oklahoma","1728800","242600","57200","106800","491500","323300","216400","79900","537200","3783700"
"Oregon","1807100","297300","113000","128800","700100","365600","215300","43900","277600","3948700"
"Pennsylvania","6521800","843700","285900","429100","1573500","1254300","624100","73300","780600","12386400"
"Rhode Island","527300","55700","27200","38600","165500","85000","54300","8200","52500","1014400"
"South Carolina","2141000","316900","88100","165600","673100","431100","291900","112900","513400","4734000"
"South Dakota","399000","84900","12100","21500","77400","71000","46000","24200","92900","829000"
"Tennessee","3001900","429600","124600","223700","943000","500200","413200","127000","659600","6422800"
"Texas","12552000","1840300","331400","709100","3649600","1423700","1246400","464700","4560300","26777500"
"Utah","1718300","283800","51500","54800","220800","166100","104000","31700","314300","2945200"
"Vermont","294800","35100","11700","31000","113300","55900","31900","4800","23800","602400"
"Virginia","4319700","572700","94500","166200","710400","715400","354300","366900","751000","8051200"
"Washington","3500300","518300","173600","207900","1099300","571900","320900","152300","458200","7002800"
"West Virginia","812000","68100","39100","72000","365000","200400","114300","22400","98200","1791500"
"Wisconsin","3153600","348600","113900","161300","683800","511200","282300","41800","324300","5620900"
"Wyoming","309000","44800","8900","14100","46200","48100","24800","13800","59300","568900"
"Puerto Rico","869600","252600","46500","340300","1286500","142300","292100","18100","195100","3443200"

