"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2016"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","153701600","21924600","6119000","10470500","48928200","24619000","17009600","4646700","27047100","314466400","1"
"Alabama","2216700","318500","84200","196600","671900","438300","274300","94400","435200","4730100"
"Alaska","336100","32200","21000","15000","102000","36300","20900","47900","103500","714900"
"Arizona","2928500","447700","122100","208600","1255200","555800","462600","105700","674800","6760900"
"Arkansas","1215700","195800","68200","126400","577300","239700","195200","44900","232200","2895400"
"California","17805300","2873100","784700","1508000","8173400","2138800","1921300","396600","2841000","38442400"
"Colorado","2727500","437800","99900","128000","817600","366400","281400","125900","413700","5398100"
"Connecticut","1893600","215700","55500","111100","533900","279300","180900","25200","170000","3465100"
"Delaware","484800","52500","13700","27900","137200","93600","49700","11300","53500","924300"
"District of Columbia","335300","43300","11700","32200","140000","32100","16000","7900","26000","644400"
"Florida","7911800","2031100","322500","826100","2676800","1777000","1684300","390500","2524000","20144000"
"Georgia","4750700","742500","171500","323200","1298700","657200","520400","244400","1292300","10001000"
"Hawaii","756200","62200","26800","39500","173400","135900","53900","69300","47400","1364600"
"Idaho","778600","171000","32800","50000","194500","141000","87600","25100","170200","1650700"
"Illinois","6634000","833700","193100","323700","2020700","961500","630500","79700","814300","12491200"
"Indiana","3430900","371000","108900","176700","865000","552400","353000","54500","518900","6431400"
"Iowa","1646700","207600","87700","94200","410800","287200","149400","24400","122400","3030400"
"Kansas","1510100","234900","55500","72400","263400","241600","136500","65800","236700","2817000"
"Kentucky","1982800","225000","93200","163400","888300","380400","261300","72500","220800","4287700"
"Louisiana","1959600","320100","105600","185600","855000","297500","278500","67400","461100","4530500"
"Maine","620000","94100","23900","74300","152300","128800","78200","20100","102000","1293800"
"Maryland","3263400","368500","97300","164500","778600","477400","237500","111600","357700","5856500"
"Massachusetts","3652400","348500","172100","270600","1130700","537500","258300","36500","163900","6570600"
"Michigan","4916700","575300","234600","345600","1613000","1034000","399700","58100","516600","9693500"
"Minnesota","3030100","392500","127100","112600","727900","533600","205100","36600","227400","5392900"
"Mississippi","1218300","173400","57300","142000","515300","204900","180500","56300","339300","2887300"
"Missouri","3050900","461300","74600","172100","612000","519100","391000","88000","529100","5898000"
"Montana","440500","97200","24400","37600","146400","94100","66800","23200","84900","1015100"
"Nebraska","1014900","159300","23400","48100","165500","153800","84400","31900","163800","1845000"
"Nevada","1393700","186500","53800","75200","427500","194700","185300","52700","321000","2890400"
"New Hampshire","741700","75500","18800","31500","123600","132100","73000","12900","82100","1291300"
"New Jersey","4901100","501600","135000","246600","1140200","688300","436800","37300","675900","8762700"
"New Mexico","749000","102200","43700","82800","532100","152000","134800","49900","183000","2029400"
"New York","9451400","1140400","509900","836400","3729300","1377500","909200","96900","1170500","19221500"
"North Carolina","4471300","804900","171000","321400","1344700","850700","566900","269400","1029700","9829900"
"North Dakota","403300","72100","11500","18300","50600","70600","23800","18600","57000","725900"
"Ohio","5898400","553700","234500","309800","1856700","1004100","694800","97400","629400","11278700"
"Oklahoma","1711800","251400","67600","106300","516500","316400","236300","70400","524200","3800800"
"Oregon","1879400","305700","108900","126000","699200","378000","230600","37800","249000","4014500"
"Pennsylvania","6368900","832100","289100","421500","1743900","1287700","628200","70600","722700","12364700"
"Rhode Island","527000","70400","28000","46000","149000","83400","59300","8000","42900","1013900"
"South Carolina","2174800","328800","99900","174100","693000","442700","300100","115700","476200","4805300"
"South Dakota","440700","71000","14500","21200","82700","72500","44400","19700","69200","835800"
"Tennessee","3013400","438100","147200","235100","996800","516800","408900","119800","591700","6467700"
"Texas","12775700","1879900","360500","699100","3697500","1458200","1308900","476400","4522200","27178300"
"Utah","1801900","278200","60900","54800","235800","163700","114700","34300","255200","2999300"
"Vermont","288400","34900","11500","31800","116900","58300","31600","4600","21600","599600"
"Virginia","4362200","584700","92300","164300","672300","740200","373600","376900","714400","8080900"
"Washington","3624400","462200","175200","213900","1126200","585200","338800","174700","423800","7124100"
"West Virginia","773800","64600","47900","81600","382200","198500","125600","19800","87700","1781700"
"Wisconsin","3140500","350600","133700","181700","668900","503200","299900","52100","292600","5623300"
"Wyoming","296700","49400","10400","15200","45900","49100","25200","15100","62500","569400"
"Puerto Rico","818300","263100","48200","334600","1245000","147600","291900","15700","214600","3379100"
