Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Illinois,6734400,620500.0,185100.0,320600,1623000,893700,417100,86300.0,1677700,12558400,,2009
Indiana,3400400,281500.0,94300.0,147300,646900,514200,211900,51300.0,874100,6221900,,2009
Iowa,1650300,205800.0,64800.0,91100,250300,284100,78600,23300.0,254200,2902600,,2009
Kansas,1501200,172300.0,32100.0,66300,219100,229200,82800,66400.0,346700,2716000,,2009
Kentucky,2025500,190800.0,61700.0,156000,547900,336200,176700,73700.0,604900,4173500,,2009
Louisiana,1989400,220200.0,68700.0,151300,637600,267600,192600,71800.0,753200,4352400,,2009
Maine,603400,59700.0,33600.0,72100,187200,110300,50100,26700.0,130900,1273900,,2009
Maryland,3282600,281600.0,67200.0,134600,492000,412300,137400,103700.0,614400,5525700,,2009
Massachusetts,3848400,303200.0,164200.0,230300,836200,486200,185000,29600.0,275100,6358100,,2009
Michigan,5061200,448300.0,204300.0,294400,1263600,924900,258900,63400.0,1205200,9724300,,2009
Minnesota,3029900,348400.0,87800.0,125100,470600,445700,126100,33400.0,461900,5128900,,2009
Mississippi,1196200,134400.0,55500.0,130100,446300,187400,131000,56200.0,499300,2836300,,2009
Missouri,3059800,318000.0,71800.0,175100,598400,502500,221400,82300.0,776500,5805900,,2009
Montana,426100,75700.0,9600.0,21300,81000,87500,41200,21000.0,179300,942700,,2009
Nebraska,946500,142000.0,21400.0,45300,145900,145800,52900,31500.0,200000,1731300,,2009
Nevada,1346400,122700.0,32900.0,53200,161300,155200,107200,47200.0,570200,2596300,,2009
New Hampshire,787200,55500.0,16800.0,36400,88800,109900,40300,12900.0,135100,1282900,,2009
New Jersey,5058000,375000.0,99800.0,229400,705000,630900,311300,38600.0,1071000,8519200,,2009
New Mexico,771300,87900.0,35000.0,65200,332500,141000,84300,43900.0,397500,1958500,,2009
New York,10027900,862100.0,370800.0,659000,2745900,1356800,683700,92900.0,2191400,18990400,,2009
North Carolina,4266000,538900.0,121100.0,257200,1077200,706200,357000,248700.0,1454300,9026700,,2009
North Dakota,354900,54000.0,6400.0,16700,32700,61600,15500,12700.0,60900,615400,,2009
Ohio,6113600,458300.0,181700.0,296400,1282700,971400,422700,104500.0,1375800,11207100,,2009
Oklahoma,1600700,177900.0,52200.0,113100,417700,289700,141000,90100.0,661500,3544100,,2009
Oregon,1854800,254600.0,55200.0,99400,332200,325000,128500,42600.0,651300,3743600,,2009
Pennsylvania,6708500,611700.0,272400.0,368200,1289600,1206500,431800,72300.0,1192500,12153500,,2009
Rhode Island,552400,50400.0,21000.0,33800,105700,84200,39300,10900.0,114200,1011800,,2009
South Carolina,2049300,221800.0,65400.0,163100,515400,357000,183000,101300.0,737400,4393700,,2009
South Dakota,378300,65500.0,13900.0,22900,75200,69300,28300,20800.0,107100,781400,,2009
Tennessee,2936900,335500.0,108400.0,231400,785200,470600,266200,105500.0,876800,6116600,,2009
Texas,11006900,1090900.0,300800.0,609000,2837000,1252800,816600,417500.0,5765400,24096900,,2009
Utah,1635100,184300.0,46900.0,46500,181500,145700,67900,32100.0,393400,2733400,,2009
Vermont,308900,28200.0,18000.0,25100,91500,49000,22600,3900.0,52400,599600,,2009
Virginia,4269600,389200.0,85700.0,177900,516900,602700,233300,341800.0,895700,7512800,,2009
Washington,3372300,387000.0,133500.0,170000,722100,496700,184300,137700.0,882900,6486600,,2009
West Virginia,840500,49900.0,43000.0,68300,218400,184600,92200,20800.0,251200,1768900,,2009
Wisconsin,3195500,243600.0,110800.0,142600,609800,474900,171800,41300.0,502200,5492700,,2009
Wyoming,272900,39400.0,9100.0,13600,40600,41600,17100,10500.0,81500,526300,,2009
Puerto Rico,1190000,286100.0,70400.0,272600,1342700,141100,279100,18300.0,322100,3922300,,2009
Alabama,2195700,232900.0,72800.0,173000,596800,395500,203700,94100.0,686800,4651400,,2010
Alaska,349500,19000.0,14100.0,17500,77000,24600,14900,43700.0,124100,684600,,2010
Arizona,2707800,318300.0,106300.0,163600,1003800,486800,292900,115600.0,1061900,6256900,,2010
Arkansas,1169100,135300.0,46100.0,113100,428400,239700,152200,54300.0,495800,2834000,,2010
California,16708900,2429500.0,506900.0,1192000,5227300,1970600,1299100,400000.0,6781300,36515700,,2010
Colorado,2528300,389100.0,56600.0,109800,464100,316000,155500,120000.0,776700,4916200,,2010
Connecticut,2005700,169900.0,43900.0,85800,394500,294200,127700,28100.0,313800,3463700,,2010
Delaware,456100,32200.0,16700.0,24700,125900,83500,32400,12900.0,87200,871700,,2010
District of Columbia,297100,25500.0,19300.0,22500,109700,33400,12700,5500.0,44500,570200,,2010
Florida,7389100,1089600.0,177100.0,636200,2037100,1680300,1107900,357500.0,3924000,18398800,,2010
Georgia,4466200,461500.0,115500.0,253100,1130700,552500,357400,214700.0,1863200,9414700,,2010
Hawaii,717600,68900.0,24700.0,36200,133600,118300,40300,61700.0,100400,1301600,,2010
Idaho,729200,124200.0,26200.0,37600,142200,128500,51700,24500.0,274900,1538900,,2010
Illinois,6570400,616200.0,170300.0,278400,1670800,933000,452500,86800.0,1757900,12536400,,2010
Indiana,3277200,291300.0,82500.0,130100,720100,547800,239300,58800.0,942400,6289300,,2010
Iowa,1618600,194800.0,60600.0,94500,303200,291800,84300,24700.0,275600,2948200,,2010
Kansas,1496600,167400.0,36600.0,72100,218800,235800,91500,63500.0,378700,2761000,,2010
Kentucky,1993500,195400.0,69500.0,159200,533200,349400,185100,77200.0,644500,4207100,,2010
Louisiana,1916600,223600.0,72300.0,160100,714000,276400,189300,65100.0,782900,4400400,,2010
Maine,609600,58700.0,24100.0,68100,203000,119200,48400,21000.0,138500,1290600,,2010
Maryland,3227700,283200.0,78000.0,129400,582200,423300,151800,106400.0,640100,5622200,,2010
Massachusetts,3741900,308500.0,153400.0,239500,904500,483900,192100,27600.0,277100,6328400,,2010
Michigan,4890100,428600.0,208400.0,293800,1335200,961100,277000,61800.0,1201600,9657600,,2010
Minnesota,3001200,344500.0,96300.0,117600,518300,463800,139100,42300.0,464400,5187500,,2010
Mississippi,1157200,128800.0,45200.0,136200,496500,199600,129700,55100.0,519100,2867200,,2010
Missouri,2979700,342700.0,65600.0,177100,618300,508100,243700,95400.0,771400,5802000,,2010
Montana,442100,79100.0,17300.0,21100,84900,89900,44000,21700.0,162800,962800,,2010
Nebraska,938500,144800.0,31800.0,45800,155000,154300,52900,37900.0,210000,1771000,,2010
Nevada,1313600,125500.0,28200.0,58100,198300,167400,116600,49800.0,600100,2657600,,2010
New Hampshire,764800,56000.0,14100.0,31000,91200,117000,44200,14200.0,143500,1276000,,2010
New Jersey,4976200,360700.0,105400.0,207400,816700,651700,324800,32300.0,1145200,8620400,,2010
New Mexico,790900,86600.0,44800.0,62200,346100,145400,91100,47100.0,403800,2018000,,2010
New York,9625500,794100.0,370900.0,678100,3002300,1327000,707200,96100.0,2258800,18860000,,2010
North Carolina,4188300,545900.0,111400.0,262500,1175500,741300,393900,253100.0,1569300,9241100,,2010
North Dakota,362800,59700.0,9700.0,12400,36400,64700,19700,17000.0,64900,647200,,2010
Ohio,6004200,434700.0,173100.0,278200,1370300,985800,473600,110700.0,1384900,11215700,,2010
Oklahoma,1598500,180600.0,49300.0,103600,460600,300500,156400,86600.0,699400,3635500,,2010
Oregon,1795800,249700.0,55200.0,101600,392400,331700,145700,46000.0,645800,3764000,,2010
Pennsylvania,6611500,620200.0,282100.0,397400,1376600,1216200,452500,80800.0,1256400,12293700,,2010
Rhode Island,531900,41800.0,25600.0,39300,108100,81000,44000,15000.0,122300,1009200,,2010
South Carolina,2019600,195100.0,59500.0,149200,563600,377600,203900,117100.0,790900,4476500,,2010
South Dakota,385700,80100.0,16100.0,24900,67400,71800,24400,22900.0,93600,787000,,2010
Tennessee,2915700,325000.0,102500.0,224600,833200,481700,289100,121300.0,893100,6186200,,2010
Texas,10986600,1040800.0,294600.0,638100,3167400,1284000,863800,444900.0,5864200,24584400,,2010
Utah,1559500,172800.0,43800.0,46100,224100,151900,63000,40700.0,422200,2724100,,2010
Vermont,293400,27500.0,15100.0,23500,108800,53900,23400,6900.0,47000,599500,,2010
Virginia,4243000,418400.0,81800.0,165600,552600,631500,264200,352200.0,994400,7703800,,2010
Washington,3351500,390600.0,115300.0,180500,744000,508000,197500,151500.0,936900,6575900,,2010
West Virginia,838200,50000.0,27200.0,73000,239200,193500,92700,22600.0,262500,1799000,,2010
Wisconsin,3089000,256700.0,109100.0,154700,677600,479500,189700,46700.0,530500,5533400,,2010
Wyoming,294600,31400.0,5600.0,11000,49600,42800,17400,15100.0,80800,548400,,2010
Puerto Rico,1054100,281200.0,45000.0,241900,1310300,145900,283600,22200.0,299900,3684000,,2010
Alabama,2191200,248700.0,68500.0,186700,602400,380600,229200,107500.0,661100,4676000,,2011
Alaska,341000,18100.0,14700.0,17100,78000,28900,18600,41600.0,139100,697100,,2011
Arizona,2682800,325800.0,104100.0,174700,1028400,486900,328200,107800.0,1085700,6324500,,2011
Arkansas,1202100,136000.0,46600.0,120700,431400,223300,157900,48000.0,483600,2849500,,2011
California,16800800,2355900.0,525400.0,1209100,5502600,1931200,1434000,396000.0,6707900,36862800,,2011
Colorado,2529800,388000.0,72100.0,116700,496200,313900,182300,125500.0,759600,4983900,,2011
Connecticut,1988100,173400.0,46500.0,100200,425000,271100,143300,20700.0,298000,3466400,,2011
