"Title: Health Insurance Coverage of the Total Population, Multiple Sources of Coverage | KFF"
"Timeframe: 2010"
"Location","Employer Only","Non-group Only","Medicaid and Private Insurance","Medicaid and Medicare","Medicaid Only","Medicare and Private Insurance","Medicare Only","Military","Uninsured","Total",Footnotes
"United States","148122000","15847400","4578500","8910900","37531300","22767200","11567900","4568900","46912100","300806200","1"
"Alabama","2195700","232900","72800","173000","596800","395500","203700","94100","686800","4651400"
"Alaska","349500","19000","14100","17500","77000","24600","14900","43700","124100","684600"
"Arizona","2707800","318300","106300","163600","1003800","486800","292900","115600","1061900","6256900"
"Arkansas","1169100","135300","46100","113100","428400","239700","152200","54300","495800","2834000"
"California","16708900","2429500","506900","1192000","5227300","1970600","1299100","400000","6781300","36515700"
"Colorado","2528300","389100","56600","109800","464100","316000","155500","120000","776700","4916200"
"Connecticut","2005700","169900","43900","85800","394500","294200","127700","28100","313800","3463700"
"Delaware","456100","32200","16700","24700","125900","83500","32400","12900","87200","871700"
"District of Columbia","297100","25500","19300","22500","109700","33400","12700","5500","44500","570200"
"Florida","7389100","1089600","177100","636200","2037100","1680300","1107900","357500","3924000","18398800"
"Georgia","4466200","461500","115500","253100","1130700","552500","357400","214700","1863200","9414700"
"Hawaii","717600","68900","24700","36200","133600","118300","40300","61700","100400","1301600"
"Idaho","729200","124200","26200","37600","142200","128500","51700","24500","274900","1538900"
"Illinois","6570400","616200","170300","278400","1670800","933000","452500","86800","1757900","12536400"
"Indiana","3277200","291300","82500","130100","720100","547800","239300","58800","942400","6289300"
"Iowa","1618600","194800","60600","94500","303200","291800","84300","24700","275600","2948200"
"Kansas","1496600","167400","36600","72100","218800","235800","91500","63500","378700","2761000"
"Kentucky","1993500","195400","69500","159200","533200","349400","185100","77200","644500","4207100"
"Louisiana","1916600","223600","72300","160100","714000","276400","189300","65100","782900","4400400"
"Maine","609600","58700","24100","68100","203000","119200","48400","21000","138500","1290600"
"Maryland","3227700","283200","78000","129400","582200","423300","151800","106400","640100","5622200"
"Massachusetts","3741900","308500","153400","239500","904500","483900","192100","27600","277100","6328400"
"Michigan","4890100","428600","208400","293800","1335200","961100","277000","61800","1201600","9657600"
"Minnesota","3001200","344500","96300","117600","518300","463800","139100","42300","464400","5187500"
"Mississippi","1157200","128800","45200","136200","496500","199600","129700","55100","519100","2867200"
"Missouri","2979700","342700","65600","177100","618300","508100","243700","95400","771400","5802000"
"Montana","442100","79100","17300","21100","84900","89900","44000","21700","162800","962800"
"Nebraska","938500","144800","31800","45800","155000","154300","52900","37900","210000","1771000"
"Nevada","1313600","125500","28200","58100","198300","167400","116600","49800","600100","2657600"
"New Hampshire","764800","56000","14100","31000","91200","117000","44200","14200","143500","1276000"
"New Jersey","4976200","360700","105400","207400","816700","651700","324800","32300","1145200","8620400"
"New Mexico","790900","86600","44800","62200","346100","145400","91100","47100","403800","2018000"
"New York","9625500","794100","370900","678100","3002300","1327000","707200","96100","2258800","18860000"
"North Carolina","4188300","545900","111400","262500","1175500","741300","393900","253100","1569300","9241100"
"North Dakota","362800","59700","9700","12400","36400","64700","19700","17000","64900","647200"
"Ohio","6004200","434700","173100","278200","1370300","985800","473600","110700","1384900","11215700"
"Oklahoma","1598500","180600","49300","103600","460600","300500","156400","86600","699400","3635500"
"Oregon","1795800","249700","55200","101600","392400","331700","145700","46000","645800","3764000"
"Pennsylvania","6611500","620200","282100","397400","1376600","1216200","452500","80800","1256400","12293700"
"Rhode Island","531900","41800","25600","39300","108100","81000","44000","15000","122300","1009200"
"South Carolina","2019600","195100","59500","149200","563600","377600","203900","117100","790900","4476500"
"South Dakota","385700","80100","16100","24900","67400","71800","24400","22900","93600","787000"
"Tennessee","2915700","325000","102500","224600","833200","481700","289100","121300","893100","6186200"
"Texas","10986600","1040800","294600","638100","3167400","1284000","863800","444900","5864200","24584400"
"Utah","1559500","172800","43800","46100","224100","151900","63000","40700","422200","2724100"
"Vermont","293400","27500","15100","23500","108800","53900","23400","6900","47000","599500"
"Virginia","4243000","418400","81800","165600","552600","631500","264200","352200","994400","7703800"
"Washington","3351500","390600","115300","180500","744000","508000","197500","151500","936900","6575900"
"West Virginia","838200","50000","27200","73000","239200","193500","92700","22600","262500","1799000"
"Wisconsin","3089000","256700","109100","154700","677600","479500","189700","46700","530500","5533400"
"Wyoming","294600","31400","5600","11000","49600","42800","17400","15100","80800","548400"
"Puerto Rico","1054100","281200","45000","241900","1310300","145900","283600","22200","299900","3684000"
